NODE_274640_length_571_cov_2.60465 	2
NODE_270012_length_579_cov_3.32634 	2
NODE_252128_length_611_cov_1.64209 	2
NODE_240755_length_634_cov_3.18653 	2
NODE_239557_length_637_cov_14.6632 	3
NODE_234190_length_648_cov_2.4199 	3
NODE_229909_length_658_cov_1.91874 	2
NODE_217934_length_687_cov_3.25316 	2
NODE_214259_length_697_cov_6.17913 	3
NODE_208336_length_713_cov_2.09726 	1
NODE_205605_length_721_cov_2.73574 	1
NODE_205346_length_722_cov_11.7361 	3
NODE_199427_length_739_cov_1.53216 	3
NODE_198960_length_741_cov_2.33382 	2
NODE_197546_length_745_cov_2.05797 	2
NODE_194253_length_755_cov_1.89571 	2
NODE_189472_length_771_cov_8.22626 	3
NODE_186042_length_783_cov_28.5824 	3
NODE_185456_length_785_cov_19.6685 	3
NODE_184240_length_789_cov_3.22752 	1
NODE_183962_length_790_cov_2.48571 	3
NODE_184016_length_790_cov_2.67075 	2
NODE_181897_length_798_cov_10.8964 	3
NODE_181349_length_800_cov_1.6443 	2
NODE_176502_length_818_cov_27.4692 	3
NODE_175924_length_820_cov_6.42092 	1
NODE_175046_length_823_cov_4.21745 	2
NODE_171850_length_836_cov_25.1204 	3
NODE_171010_length_839_cov_3.16837 	3
NODE_170548_length_841_cov_21.2481 	3
NODE_170105_length_843_cov_19.467 	3
NODE_169589_length_845_cov_19.9709 	3
NODE_168832_length_848_cov_4.05927 	3
NODE_168590_length_849_cov_13.4144 	3
NODE_168546_length_849_cov_2.31108 	1
NODE_166607_length_857_cov_2.23192 	2
NODE_165470_length_862_cov_10.3036 	3
NODE_164162_length_867_cov_1.70074 	2
NODE_163084_length_872_cov_1.67075 	1
NODE_162206_length_876_cov_1.83557 	2
NODE_161627_length_879_cov_15.085 	3
NODE_160925_length_882_cov_7.79807 	1
NODE_160422_length_884_cov_2.14355 	2
NODE_160408_length_884_cov_2.52955 	4
NODE_158934_length_891_cov_3.14474 	1
NODE_157825_length_896_cov_2.28894 	1
NODE_157590_length_897_cov_3.96912 	1
NODE_156565_length_902_cov_2.99174 	2
NODE_156302_length_903_cov_1.99057 	2
NODE_155657_length_906_cov_2.09988 	2
NODE_155242_length_908_cov_3.5932 	4
NODE_154730_length_910_cov_2.61754 	2
NODE_154090_length_913_cov_1.91958 	1
NODE_153521_length_916_cov_15.3322 	3
NODE_152936_length_919_cov_13.588 	3
